Марка;Цена USD;Цена UA;Город;Ссылка
Audi Q8 2020Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;71 969 $;1 907 187 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-audi-q8-1831509.html
Audi A6 2019Sport 55 TFSI S-tronic (340 л.с.) Quattro;78 038 $;2 068 013 грн;Одесса;https://auto.ria.com/newauto/auto-audi-a6-1824695.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;77 033 $;2 041 386 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829275.html
Audi A5 2017S-line New 2.0 TFSI S-tronic (190 л.с.);43 396 $;1 150 000 грн;Харьков;https://auto.ria.com/newauto/auto-audi-a5-1818911.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;89 202 $;2 363 866 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829283.html
Audi e-tron 2019Advanced 95kWh (408 л.с.) Quattro;96 241 $;2 533 904 грн;Харьков;https://auto.ria.com/newauto/auto-audi-e-tron-1820959.html
Audi Q8 2018Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;74 801 $;1 982 215 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-audi-q8-1815249.html
Audi RS Q8 20204.0 TFSI S-tronic (600 л.c.) Quattro;158 287 $;4 194 604 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs-q8-1832250.html
Audi Q8 2020S-Line 55 TFSI Tip-tronic (340 л.с.) Quattro;143 464 $;3 801 800 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1831485.html
Audi Q7 202050TDI Tip-tronic (286 л.с.) Quattro;73 349 $;1 943 754 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1826866.html
Audi Q7 2020Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;84 406 $;2 366 405 грн;Запорожье;https://auto.ria.com/newauto/auto-audi-q7-1829394.html
Audi e-tron 2019S-Line 95kWh (408 л.с.) Quattro;102 967 $;2 728 623 грн;Одесса;https://auto.ria.com/newauto/auto-audi-e-tron-1820962.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;94 785 $;2 511 792 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829273.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;80 874 $;2 143 159 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q8-1831449.html
Audi Q2 2018Sport 35 TDI S-tronic (150 л.с.) Quattro;39 245 $;1 040 000 грн;Харьков;https://auto.ria.com/newauto/auto-audi-q2-1746290.html
Audi Q7 2020Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;102 075 $;2 861 759 грн;Запорожье;https://auto.ria.com/newauto/auto-audi-q7-1829398.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;81 164 $;2 150 851 грн;Харьков;https://auto.ria.com/newauto/auto-audi-q7-1828472.html
Audi e-tron 2019Advanced 95kWh (408 л.с.) Quattro;97 729 $;2 589 808 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1818884.html
Audi Q5 2019Design 2.0 TFSI S-tronic (252 л.с.) Quattro;64 805 $;1 717 338 грн;Киев;https://auto.ria.com/newauto/auto-audi-q5-1820914.html
Audi Q7 2020Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;84 712 $;2 244 873 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1826276.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;85 306 $;2 260 613 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q8-1831770.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;100 590 $;2 665 636 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1831777.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;87 723 $;2 298 345 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1826863.html
Audi Q7 202050TDI Tip-tronic (286 л.с.) Quattro;82 787 $;2 169 026 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1828656.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;113 494 $;3 007 582 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q8-1826272.html
Audi SQ7 20184.0 TDI Tip-tronic (435 л.с.) Quattro;141 786 $;3 757 333 грн;Одесса;https://auto.ria.com/newauto/auto-audi-sq7-1816604.html
Audi Q7 201950TDI Tip-tronic (286 л.с.) Quattro;84 664 $;2 373 635 грн;Запорожье;https://auto.ria.com/newauto/auto-audi-q7-1825536.html
Audi e-tron 2019S-Line 95kWh (408 л.с.) Quattro;96 707 $;2 562 738 грн;Одесса;https://auto.ria.com/newauto/auto-audi-e-tron-1831883.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;92 746 $;2 430 075 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q8-1831727.html
Audi Q7 202050TDI Tip-tronic (286 л.с.) Quattro;87 463 $;2 291 670 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1828642.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;81 335 $;2 155 378 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q8-1820200.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;83 240 $;2 205 850 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q8-1831890.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;88 421 $;2 343 156 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1828645.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;85 234 $;2 244 113 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829956.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;88 590 $;2 332 464 грн;Харьков;https://auto.ria.com/newauto/auto-audi-q7-1828475.html
Audi Q8 2019S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;93 905 $;2 472 412 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q8-1816932.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;77 038 $;2 070 607 грн;Харьков;https://auto.ria.com/newauto/auto-audi-q7-1828710.html
Audi Q8 2019S-Line 55 TFSI Tip-tronic (340 л.с.) Quattro;95 627 $;2 675 868 грн;Запорожье;https://auto.ria.com/newauto/auto-audi-q8-1825543.html
Audi S8 2020Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro;212 525 $;5 595 528 грн;Киев;https://auto.ria.com/newauto/auto-audi-s8-1832523.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;94 904 $;2 494 990 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829279.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;89 261 $;2 350 134 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1827825.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;86 304 $;2 319 680 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829271.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;99 814 $;2 682 787 грн;Харьков;https://auto.ria.com/newauto/auto-audi-q7-1828471.html
Audi Q8 2019S-Line 55 TFSI Tip-tronic (340 л.с.) Quattro;94 999 $;2 501 210 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1826378.html
Audi RS Q8 20204.0 TFSI S-tronic (600 л.c.) Quattro;111 631 $;2 958 234 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs-q8-1830261.html
Audi S8 2020Plus 4.0 TFSI Tip-tronic (605 л.с.) Quattro;223 284 $;5 917 031 грн;Киев;https://auto.ria.com/newauto/auto-audi-s8-1826368.html
Audi Q8 2019S-Line 55 TFSI Tip-tronic (340 л.с.) Quattro;99 999 $;2 620 124 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1755671.html
Audi RS6 2020Plus 4.0 TFSI S-tronic (605 л.с.)  Quattro;144 019 $;3 816 504 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs6-1810400.html
Audi Q7 2019S-Line 50TDI Tip-tronic (286 л.с.) Quattro;108 253 $;2 868 709 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1818862.html
Audi SQ7 20194.0 TDI Tip-tronic (435 л.с.) Quattro;147 202 $;3 900 851 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq7-1818860.html
Audi SQ8 2020Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;223 284 $;5 917 031 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq8-1824568.html
Audi Q7 2019S-Line 50TDI Tip-tronic (286 л.с.) Quattro;95 094 $;2 645 476 грн;Запорожье;https://auto.ria.com/newauto/auto-audi-q7-1825534.html
Audi Q7 2019S-Line 50TDI Tip-tronic (286 л.с.) Quattro;108 253 $;2 868 709 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1802659.html
Audi RS Q8 20204.0 TFSI S-tronic (600 л.c.) Quattro;189 803 $;5 101 496 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs-q8-1831393.html
Audi SQ8 2020Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;217 714 $;5 851 686 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq8-1822779.html
Audi SQ8 2020Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;167 472 $;4 501 290 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq8-1822780.html
Audi SQ8 2020Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;223 711 $;5 890 031 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq8-1826265.html
Audi SQ7 20194.0 TDI Tip-tronic (435 л.с.) Quattro;167 472 $;4 501 290 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq7-1817249.html
Audi SQ7 2020Basis 4.0 TDI Tip-tronic (435 л.с.) Quattro;195 747 $;5 153 773 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq7-1819161.html
Audi RS7 2020Plus 4.0 TFSI Tip-tronic (605 л.c.) Quattro Performance;214 353 $;5 680 348 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs7-1822063.html
Audi e-tron 2019Prestige 95kWh (408 л.с.) Quattro;102 000 $;2 716 046 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1794134.html
Audi e-tron 2019Prestige 95kWh (408 л.с.) Quattro;99 999 $;2 662 763 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1794135.html
Audi Q8 2019Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;99 999 $;2 632 854 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1811404.html
Audi SQ8 2019Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;101 183 $;2 694 282 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq8-1801844.html
Audi SQ7 2020Basis 4.0 TDI Tip-tronic (435 л.с.) Quattro;167 472 $;4 501 290 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq7-1821817.html
Audi RS7 2020Basis Sportback 4.0 TFSI S-tronic (600 л.c.) Quattro;214 762 $;5 654 428 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs7-1822062.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;87 200 $;2 180 000 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1833015.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;76 900 $;1 922 500 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1832357.html
Audi Q8 2020S-Line 45 TDI Tip-tronic (231 л.с.) Quattro;85 407 $;2 263 275 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1832371.html
Audi Q7 2020Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;77 915 $;1 947 875 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1818871.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;107 800 $;2 695 000 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1820506.html
Audi e-tron 2020Advanced 95kWh (408 л.с.) Quattro;85 500 $;2 137 500 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1821412.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;81 300 $;2 032 500 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1832297.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;89 900 $;2 247 500 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1833011.html
Audi Q8 2019S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;96 958 $;2 423 950 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1826086.html
Audi e-tron 2020Advanced 95kWh (408 л.с.) Quattro;105 731 $;2 841 833 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1791940.html
Audi Q8 2019Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;98 300 $;2 457 500 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1827733.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;90 898 $;2 272 450 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1819019.html
Audi A6 2020S-line 1.8 TFSI S-tronic (190 л.с.);42 500 $;1 126 250 грн;Киев;https://auto.ria.com/newauto/auto-audi-a6-1636496.html
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;108 170 $;2 834 054 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1717948.html
Audi Q7 2020E-tron (360 л.с.) Quattro;98 804 $;2 618 299 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1816854.html
Audi SQ8 2020Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;165 119 $;4 375 666 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq8-1818017.html
Audi Q7 2019E-tron 3.0 TDI  (373 л.с.) Quattro;115 997 $;3 073 913 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1777820.html
Audi Q7 2019S-Line 50TDI Tip-tronic (286 л.с.) Quattro;78 434 $;1 960 826 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1819134.html
Audi e-tron GT 2020e-tron Sportback 94kWh Quattro;98 804 $;2 618 299 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-gt-1817087.html
Audi e-tron 2019Prestige 95kWh (408 л.с.) Quattro;118 285 $;3 172 321 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1787941.html
Audi Q5 2020Basis 40 TDI MT (190 л.с.) Quattro;62 100 $;1 645 650 грн;Киев;https://auto.ria.com/newauto/auto-audi-q5-1394788.html
Audi Q8 2020Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;77 520 $;2 031 131 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1818535.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;99 572 $;2 608 927 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1747163.html
Audi RS Q3 20202.5 TFSI S-tronic (367 л.с.) Performance Quattro;81 910 $;2 201 569 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs-q3-1636498.html
Audi SQ7 20204.0 TDI Tip-tronic (435 л.с.) Quattro;147 170 $;3 955 620 грн;Киев;https://auto.ria.com/newauto/auto-audi-sq7-1717954.html
Audi Q7 20202.0 TFSI Tip-tronic (252 л.с.) Quattro;81 710 $;2 140 811 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-995666.html
Audi Q4 2020e-tron 83kWh Quattro;75 269 $;1 972 172 грн;Киев;https://auto.ria.com/newauto/auto-audi-q4-1817086.html
Audi Q7 20203.0TDI Tip-tronic (272 л.с.) Quattro;108 740 $;2 849 151 грн;Киев;https://auto.ria.com/newauto/auto-audi-q7-1717957.html
Audi e-tron 2019Prestige 95kWh (408 л.с.) Quattro;95 795 $;2 574 755 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1763382.html
Audi A4 2020Sport 1.4 TFSI S-tronic (150 л.с.);38 700 $;1 025 550 грн;Киев;https://auto.ria.com/newauto/auto-audi-a4-995665.html
Audi e-tron 2019Advanced 95kWh (408 л.с.) Quattro;81 950 $;2 202 646 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1814999.html
Audi e-tron 2020Prestige 95kWh (408 л.с.) Quattro;77 707 $;2 088 613 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1823717.html
Audi TT 20202.0 TFSI S-tronic (230 л.с.);78 510 $;2 067 074 грн;Киев;https://auto.ria.com/newauto/auto-audi-tt-1636497.html
Audi e-tron Sportback 2020Edition One 55 E-CVT 95kWh (408 к.с.) Quattro;105 843 $;2 844 834 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1819650.html
Audi S4 20203.0 TFSI Tip-tronic (354 л.с.) Quattro;94 910 $;2 498 866 грн;Киев;https://auto.ria.com/newauto/auto-audi-s4-1636494.html
Audi e-tron 2020Prestige 71kWh (312 л.с.) Quattro;73 576 $;1 977 580 грн;Киев;https://auto.ria.com/newauto/auto-audi-e-tron-1816853.html
Audi R8 2020Special Edition e-tron 93kWh Quattro;321 474 $;8 464 016 грн;Киев;https://auto.ria.com/newauto/auto-audi-r8-1817088.html
Audi A8 2017L 6.3 FSI Tip-tronic (500 л.с.) Quattro;538 027 $;14 165 594 грн;Киев;https://auto.ria.com/newauto/auto-audi-a8-1819405.html
Audi RS7 2020Basis Sportback 4.0 TFSI S-tronic (600 л.c.) Quattro;215 482 $;5 791 698 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs7-1822182.html
